GAME_ID,GAME_DATE_EST,REAL_GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,Initials,nickname,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,nickname_away,Initials_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
22000032,12/27/20,12/27/20_Hornets_Nets,Final,1610612766,CHA,Hornets,1610612751,2020,1610612766,106,0.448,0.588,0.294,35,52,1610612751,Nets,BKN,104,0.427,0.68,0.362,23,46,1
22000034,12/27/20,12/27/20_Pelicans_Spurs,Final,1610612740,NOP,Pelicans,1610612759,2020,1610612740,98,0.383,0.724,0.208,15,56,1610612759,Spurs,SAS,95,0.427,1,0.306,26,47,1
22000036,12/27/20,12/27/20_Knicks_Bucks,Final,1610612752,NYK,Knicks,1610612749,2020,1610612752,130,0.541,0.815,0.593,27,46,1610612749,Bucks,MIL,110,0.432,0.724,0.184,24,44,1
22000032,12/27/20,12/27/20_Hornets_Nets,Final,1610612766,CHA,Hornets,1610612751,2020,1610612766,106,0.448,0.588,0.294,35,52,1610612751,Nets,BKN,104,0.427,0.68,0.362,23,46,1
22000033,12/27/20,12/27/20_Wizards_Magic,Final,1610612764,WAS,Wizards,1610612753,2020,1610612764,113,0.485,0.846,0.25,27,47,1610612753,Magic,ORL,120,0.435,0.974,0.36,19,45,0
22000034,12/27/20,12/27/20_Pelicans_Spurs,Final,1610612740,NOP,Pelicans,1610612759,2020,1610612740,98,0.383,0.724,0.208,15,56,1610612759,Spurs,SAS,95,0.427,1,0.306,26,47,1
22000037,12/27/20,12/27/20_Pacers_Celtics,Final,1610612754,IND,Pacers,1610612738,2020,1610612754,108,0.511,0.733,0.269,23,37,1610612738,Celtics,BOS,107,0.506,0.75,0.391,21,40,1
22000038,12/27/20,12/27/20_Bulls_Warriors,Final,1610612741,CHI,Bulls,1610612744,2020,1610612741,128,0.512,0.742,0.415,27,54,1610612744,Warriors,GSW,129,0.404,0.9,0.383,25,41,0
22000041,12/28/20,12/28/20_Hawks_Pistons,Final,1610612737,ATL,Hawks,1610612765,2020,1610612737,128,0.488,0.875,0.476,30,45,1610612765,Pistons,DET,120,0.439,0.875,0.317,24,48,1
22000042,12/28/20,12/28/20_Nets_Grizzlies,Final,1610612751,BKN,Nets,1610612763,2020,1610612751,111,0.41,0.882,0.333,28,50,1610612763,Grizzlies,MEM,116,0.429,0.759,0.345,20,56,0
22000043,12/28/20,12/28/20_Thunder_Jazz,Final,1610612760,OKC,Thunder,1610612762,2020,1610612760,109,0.465,0.737,0.395,21,37,1610612762,Jazz,UTA,110,0.5,0.786,0.361,24,43,0
22000044,12/28/20,12/28/20_Nuggets_Rockets,Final,1610612743,DEN,Nuggets,1610612745,2020,1610612743,124,0.529,0.563,0.452,31,52,1610612745,Rockets,HOU,111,0.453,0.739,0.41,25,38,1
22000045,12/28/20,12/28/20_Lakers_Trail Blazers,Final,1610612747,LAL,Lakers,1610612757,2020,1610612747,107,0.471,0.833,0.37,20,41,1610612757,Trail Blazers,POR,115,0.467,0.867,0.348,27,45,0
22000041,12/28/20,12/28/20_Hawks_Pistons,Final,1610612737,ATL,Hawks,1610612765,2020,1610612737,128,0.488,0.875,0.476,30,45,1610612765,Pistons,DET,120,0.439,0.875,0.317,24,48,1
22000042,12/28/20,12/28/20_Nets_Grizzlies,Final,1610612751,BKN,Nets,1610612763,2020,1610612751,111,0.41,0.882,0.333,28,50,1610612763,Grizzlies,MEM,116,0.429,0.759,0.345,20,56,0
22000044,12/28/20,12/28/20_Nuggets_Rockets,Final,1610612743,DEN,Nuggets,1610612745,2020,1610612743,124,0.529,0.563,0.452,31,52,1610612745,Rockets,HOU,111,0.453,0.739,0.41,25,38,1
22000045,12/28/20,12/28/20_Lakers_Trail Blazers,Final,1610612747,LAL,Lakers,1610612757,2020,1610612747,107,0.471,0.833,0.37,20,41,1610612757,Trail Blazers,POR,115,0.467,0.867,0.348,27,45,0
22000046,12/29/20,12/29/20_Cavaliers_Knicks,Final,1610612739,CLE,Cavaliers,1610612752,2020,1610612739,86,0.364,0.682,0.219,22,43,1610612752,Knicks,NYK,95,0.43,0.619,0.56,23,55,0
22000047,12/29/20,12/29/20_Pistons_Warriors,Final,1610612765,DET,Pistons,1610612744,2020,1610612765,106,0.38,0.793,0.371,21,45,1610612744,Warriors,GSW,116,0.5,0.722,0.424,21,40,0
22000048,12/29/20,12/29/20_Pacers_Celtics,Final,1610612754,IND,Pacers,1610612738,2020,1610612754,111,0.512,0.813,0.364,27,36,1610612738,Celtics,BOS,116,0.5,0.73,0.409,21,43,0
22000049,12/29/20,12/29/20_76ers_Raptors,Final,1610612755,PHI,76ers,1610612761,2020,1610612755,100,0.381,0.848,0.258,21,54,1610612761,Raptors,TOR,93,0.356,0.857,0.378,21,47,1
22000050,12/29/20,12/29/20_Wizards_Bulls,Final,1610612764,WAS,Wizards,1610612741,2020,1610612764,107,0.44,0.885,0.27,25,47,1610612741,Bulls,CHI,115,0.437,0.75,0.417,26,37,0
22000051,12/29/20,12/29/20_Heat_Bucks,Final,1610612748,MIA,Heat,1610612749,2020,1610612748,97,0.468,0.667,0.297,23,30,1610612749,Bucks,MIL,144,0.554,0.867,0.569,32,45,0
22000052,12/29/20,12/29/20_Thunder_Magic,Final,1610612760,OKC,Thunder,1610612753,2020,1610612760,107,0.494,0.526,0.324,20,47,1610612753,Magic,ORL,118,0.51,0.813,0.318,26,46,0
22000053,12/29/20,12/29/20_Suns_Pelicans,Final,1610612756,PHX,Suns,1610612740,2020,1610612756,111,0.44,0.947,0.404,24,43,1610612740,Pelicans,NOP,86,0.481,0.5,0.125,18,41,1
22000054,12/29/20,12/29/20_Clippers_Timberwolves,Final,1610612746,LAC,Clippers,1610612750,2020,1610612746,124,0.534,0.875,0.516,32,46,1610612750,Timberwolves,MIN,101,0.416,0.824,0.342,22,39,1
22000055,12/29/20,12/29/20_Kings_Nuggets,Final,1610612758,SAC,Kings,1610612743,2020,1610612758,125,0.489,0.773,0.485,33,37,1610612743,Nuggets,DEN,115,0.543,0.8,0.393,27,39,1
22000050,12/29/20,12/29/20_Wizards_Bulls,Final,1610612764,WAS,Wizards,1610612741,2020,1610612764,107,0.44,0.885,0.27,25,47,1610612741,Bulls,CHI,115,0.437,0.75,0.417,26,37,0
22000046,12/29/20,12/29/20_Cavaliers_Knicks,Final,1610612739,CLE,Cavaliers,1610612752,2020,1610612739,86,0.364,0.682,0.219,22,43,1610612752,Knicks,NYK,95,0.43,0.619,0.56,23,55,0
22000049,12/29/20,12/29/20_76ers_Raptors,Final,1610612755,PHI,76ers,1610612761,2020,1610612755,100,0.381,0.848,0.258,21,54,1610612761,Raptors,TOR,93,0.356,0.857,0.378,21,47,1
22000050,12/29/20,12/29/20_Wizards_Bulls,Final,1610612764,WAS,Wizards,1610612741,2020,1610612764,107,0.44,0.885,0.27,25,47,1610612741,Bulls,CHI,115,0.437,0.75,0.417,26,37,0
22000051,12/29/20,12/29/20_Heat_Bucks,Final,1610612748,MIA,Heat,1610612749,2020,1610612748,97,0.468,0.667,0.297,23,30,1610612749,Bucks,MIL,144,0.554,0.867,0.569,32,45,0
22000053,12/29/20,12/29/20_Suns_Pelicans,Final,1610612756,PHX,Suns,1610612740,2020,1610612756,111,0.44,0.947,0.404,24,43,1610612740,Pelicans,NOP,86,0.481,0.5,0.125,18,41,1
22000054,12/29/20,12/29/20_Clippers_Timberwolves,Final,1610612746,LAC,Clippers,1610612750,2020,1610612746,124,0.534,0.875,0.516,32,46,1610612750,Timberwolves,MIN,101,0.416,0.824,0.342,22,39,1
22000055,12/29/20,12/29/20_Kings_Nuggets,Final,1610612758,SAC,Kings,1610612743,2020,1610612758,125,0.489,0.773,0.485,33,37,1610612743,Nuggets,DEN,115,0.543,0.8,0.393,27,39,1
22000056,12/30/20,12/30/20_Celtics_Grizzlies,Final,1610612738,BOS,Celtics,1610612763,2020,1610612738,126,0.538,0.857,0.41,27,42,1610612763,Grizzlies,MEM,107,0.43,0.72,0.273,26,46,1
22000057,12/30/20,12/30/20_Nets_Hawks,Final,1610612751,BKN,Nets,1610612737,2020,1610612751,145,0.54,0.783,0.463,30,40,1610612737,Hawks,ATL,141,0.475,0.829,0.391,27,54,1
22000058,12/30/20,12/30/20_Heat_Bucks,Final,1610612748,MIA,Heat,1610612749,2020,1610612748,119,0.488,0.828,0.385,25,52,1610612749,Bucks,MIL,108,0.392,0.923,0.39,26,47,1
22000059,12/30/20,12/30/20_Mavericks_Hornets,Final,1610612742,DAL,Mavericks,1610612766,2020,1610612742,99,0.391,0.576,0.286,24,39,1610612766,Hornets,CHA,118,0.512,0.81,0.441,30,50,0
22000060,12/30/20,12/30/20_Spurs_Lakers,Final,1610612759,SAS,Spurs,1610612747,2020,1610612759,107,0.46,0.739,0.417,25,39,1610612747,Lakers,LAL,121,0.561,0.75,0.538,25,47,0
