NUMBER,PLAYER,,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
11,Enes Kanter,Enes Kanter,C,10-Jun,250,5/20/92,CH,9,
5,Eric Bledsoe,Eric Bledsoe,SG,1-Jun,214,12/9/89,US,10,Kentucky
10,Eric Gordon,Eric Gordon,SG,3-Jun,215,12/25/88,US,12,Indiana
7,Eric Paschall,Eric Paschall,PF,6-Jun,255,11/4/96,US,1,"Fordham, Villanova"
77,Ersan Ilyasova,Ersan Ilyasova,PF,9-Jun,235,5/15/87,TR,12,
94,Evan Fournier,Evan Fournier,SG,7-Jun,205,10/29/92,FR,8,
7,Facundo Campazzo,Facundo Campazzo,PG,10-May,195,3/23/91,AR,R,
5,Frank Jackson,Frank Jackson,PG,3-Jun,205,5/4/98,US,2,Duke
8,Frank Kaminsky,Frank Kaminsky,C,Jul-00,240,4/4/93,US,5,Wisconsin
11,Frank Ntilikina,Frank Ntilikina,PG,4-Jun,200,7/28/98,BE,3,
23,Fred VanVleet,Fred VanVleet,SG,1-Jun,197,2/25/94,US,4,Wichita State
55,Freddie Gillespie,Freddie Gillespie,PF,9-Jun,245,6/14/97,US,R,"Carleton College, Baylor"
30,Furkan Korkmaz,Furkan Korkmaz,SG,7-Jun,202,7/24/97,TR,3,
2,Gabe Vincent,Gabe Vincent,PG,3-Jun,200,6/14/96,US,1,UC Santa Barbara
6,Gabriel Deck,Gabriel Deck,PF,8-Jun,232,2/8/95,AR,R,
17,Garrett Temple,Garrett Temple,SG,5-Jun,195,5/8/86,US,10,LSU
24,Garrison Mathews,Garrison Mathews,SG,5-Jun,215,10/24/96,US,1,Lipscomb
11,Gary Clark,Gary Clark,PF,6-Jun,225,11/16/94,US,2,Cincinnati
14,Gary Harris,Gary Harris,SG,4-Jun,210,9/14/94,US,6,Michigan State
0,Gary Payton II,Gary Payton II,PG,3-Jun,190,12/1/92,US,4,Oregon State
33,Gary Trent Jr.,Gary Trent Jr.,SG,5-Jun,209,1/18/99,US,2,Duke
33,George Hill,George Hill,PG,4-Jun,188,5/4/86,US,12,IUPUI
31,Georges Niang,Georges Niang,PF,7-Jun,230,6/17/93,US,4,Iowa State
34,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,11-Jun,242,12/6/94,GR,7,
88,Goga Bitadze,Goga Bitadze,C,11-Jun,250,7/20/99,GE,1,
7,Goran Dragic,Goran Dragic,PG,3-Jun,190,5/6/86,SI,12,
7,Gorgui Dieng,Gorgui Dieng,C,10-Jun,252,1/18/90,SN,7,Louisville
12,Grant Williams,Grant Williams,PF,6-Jun,236,11/30/98,US,1,Tennessee
3,Grayson Allen,Grayson Allen,SG,4-Jun,198,10/8/95,US,2,Duke
6,Hamidou Diallo,Hamidou Diallo,SF,5-Jun,202,7/31/98,US,2,Kentucky
40,Harrison Barnes,Harrison Barnes,PF,8-Jun,225,5/30/92,US,8,UNC
4,Harry Giles,Harry Giles,C,11-Jun,240,4/22/98,US,2,Duke
20,Hassan Whiteside,Hassan Whiteside,C,Jul-00,265,6/13/89,US,8,Marshall
17,Ignas Brazdeikis,Ignas Brazdeikis,SF,6-Jun,221,1/8/99,LT,1,Michigan
5,Immanuel Quickley,Immanuel Quickley,PG,3-Jun,190,6/17/99,US,R,Kentucky
17,Isaac Bonga,Isaac Bonga,SF,8-Jun,180,11/8/99,DE,2,
35,Isaac Okoro,Isaac Okoro,SG,5-Jun,225,1/26/01,US,R,Auburn
55,Isaiah Hartenstein,Isaiah Hartenstein,C,Jul-00,250,5/5/98,US,2,
7,Isaiah Joe,Isaiah Joe,SG,4-Jun,165,7/2/99,US,R,Arkansas
22,Isaiah Roby,Isaiah Roby,PF,8-Jun,230,2/3/98,US,1,Nebraska
28,Isaiah Stewart,Isaiah Stewart,C,8-Jun,250,5/22/01,US,R,Washington
14,Ish Smith,Ish Smith,PG,Jun-00,175,7/5/88,US,10,Wake Forest
40,Ivica Zubac,Ivica Zubac,C,Jul-00,240,3/18/97,BA,4,
17,J.J. Redick,J.J. Redick,SG,3-Jun,200,6/24/84,US,14,Duke
12,Ja Morant,Ja Morant,PG,3-Jun,174,8/10/99,US,1,Murray State
20,Jabari Parker,Jabari Parker,PF,8-Jun,245,3/15/95,US,6,Duke
3,Jaden McDaniels,Jaden McDaniels,PF,9-Jun,185,9/29/00,US,R,Washington
99,Jae Crowder,Jae Crowder,PF,6-Jun,235,7/6/90,US,8,Marquette
8,Jae'Sean Tate,Jae'Sean Tate,SF,4-Jun,230,10/28/95,US,R,Ohio State
13,Jahlil Okafor,Jahlil Okafor,C,10-Jun,270,12/15/95,US,5,Duke
3,Jahmi'us Ramsey,Jahmi'us Ramsey,SG,3-Jun,190,6/9/01,US,R,Texas Tech
14,JaKarr Sampson,JaKarr Sampson,PF,7-Jun,214,3/20/93,US,5,St. John's
10,Jake Layman,Jake Layman,SF,8-Jun,209,3/7/94,US,4,Maryland
25,Jakob Poeltl,Jakob Poeltl,C,1-Jul,245,10/15/95,AT,4,Utah
13,Jalen Brunson,Jalen Brunson,PG,1-Jun,190,8/31/96,US,2,Villanova
2,Jalen Harris,Jalen Harris,SG,5-Jun,195,8/14/98,US,R,"Nevada, Louisiana Tech"
10,Jalen Smith,Jalen Smith,PF,10-Jun,215,3/16/00,US,R,Maryland
27,Jamal Murray,Jamal Murray,PG,3-Jun,215,2/23/97,CA,4,Kentucky
11,James Ennis,James Ennis,SF,6-Jun,215,7/1/90,US,6,Cal State Long Beach
13,James Harden,James Harden,PG,5-Jun,220,8/26/89,US,11,Arizona State
